
# Phrasal verbs
add up;tính tổng số
blow up;nổ tung
break down;hỏng
break in(to);đột nhập
bring up;nuôi nấng
build up;tăng
call back;gọi lại
call off;hủy
calm down;bình tĩnh
carry on;tiếp tục
catch up (with);bắt kịp
cheer up;vui lên
clear up;dọn dẹp
come across;bắt gặp
come back (from);trở về (từ)
come on;mau lên
come out;được xuất bản
cross out;gạch bỏ
cut down (on);cắt giảm
cut off;ngắt kết nối
cut off;cắt bỏ
do up;kéo (khóa) lên, cài
eat out;ăn hàng
fall down;vấp ngã
fall out (with);cãi cọ, nghỉ chơi
fill in;điền vào đơn
fill up;làm đầy
find out;phát hiện ra
get away with;thoát tội
get in(to);vào trong xe
get off;xuống xe
get on (with);có quan hệ tốt (với)
get on (to);lên xe
get out (of);rời khỏi
get over;vượt qua
get up;dậy, xuống giường
give away;cho tặng
give back;trả lại
give up;từ bỏ
go away;biến đi, rời khỏ
go back (to);trở lại
go off;hỏng
go on;tiếp tục
go on;xảy ra
go out;tắt (lửa)
go out with;hẹn hò
grow up;trưởng thành
hang on;đợi
hang up;treo quần áo lên
hang up;cúp điện thoại
have on;mặc trên người
hurry up;khẩn trương lên
join in;tham gia
keep out;không cho phép vào
leave out;bỏ đi, bỏ sót
let down;gay thất vọng
lie down;nằm xuống (giường)
log off;đăng xuất
log on(to);đăng nhập
look after;chăm nom
look up;tra cứu
make up;bịa ra (lời giả thích)
move in;chuyển đến
pay back;trả tiền
pick up;đón, nhặt (lên)
point out;chỉ ra
print out;in ra
pull off;lôi ra
put away;cất đi
put back;để lại chỗ cũ
put down;đặt xuống
put off;hoãn
put on;tăng (cân)
put on;mặc quần áo
put out;dập tắt
put up;treo lên
read out;đọc to
rip up;xé
rub out;chùi
run away (from);trốn thoát
run out (of);hết
save up (for);tiết kiệm
send off;(trong bóng đá) cho ra khỏi sân
set off;khởi hành
set up;thành lập
share out;phân chia
shut up;im miệng
sit down;ngồi xuống
sort out;giải quyết
speak up;nói to lên
split up;chia tay
stand up;đứng lên
stay up;ngủ muộn
take away;mang đi
take back;trả lại
take down;lấy xuống
take off;cất cánh
take off;cởi
take over;tiếp quản
take up;bắt đầu


# Unit 42: Problems and solutions
accident (n);sự tình cờ, rủi ro
assume (v);cho rằng
cause (v);gây ra
cause (n);nguyên nhân
claim (v);khẳng định
complain (v);than phiền
convince (v);thuyết phục
criticise (v);chỉ trích
deny (v);phủ nhận
discussion (n);cuộc thảo luận
doubt (v);nghi ngờ
doubt (n);sự hoài nghi
encourage (v);khuyến khích
get rid of (v phr);từ bỏ
gossip (v);tán gẫu
gossip (n);chuyện phiếm
ideal (adj);lý tưởng
insult (v);xúc phạm
insult (n);sự sỉ nhục
investigate (v);điều tra
negative (adj);tiêu cực
positive (adj);tích cực
praise (v);khen
praise (n);sự ca ngợi
pretend (v);giả vờ
purpose (n);mục đích
refuse (v);từ chối
result (v);đưa đén kết quả
result (n);kết quả
rumour (n);tin đồn
sensible (adj);hợp lý, khôn ngoan
serious (adj);nghiêm trọng
spare (adj);rảnh, dư
theory (n);lý thuyết
thought (n);ý tưởng, sự suy nghĩ
warn (v);cảnh báo
hang up;treo quần áo lên
pick up;đón, nhặt (lên)
put back;để lại chỗ cũ
run out (of);hết
share out;phân chia
sort out;giải quyết


# Unit 39: Laughing and crying
amusing (adj);vui vẻ, giải trí
annoy (v);làm phiền
attitude (n);thái độ
bad-tempered (adj);nóng tính
behave (v);cư xử
bully (v);ngược đãi
bully (n);kẻ bắt nạt
calm (adj);bình tĩnh
celebrate (v);tổ chức
character (n);tính cách
depressed (adj);buồn rầu
embarrassing (adj);xấu hổ
emotion (n);cảm xúc
enthusiastic (adj);nhiệt tình
feeling (n);cảm giác
glad (adj);vui
hurt (v);bị đau
hurt (adj);tổn thương, đau đớn
miserable (adj);khổ sở
naughty (adj);hư đốn
noisy (adj);ồn ào
polite (adj);lịch sự
react (v);phản ứng lại
regret (n);sự hối tiếc
ridiculous (adj);nực cười, lố bịch
romantic (adj);lãng mạn
rude (adj);thô lỗ
sense of humour (n phr);khiếu hài hước
shy (adj);rụt rè
stress (n);căng thẳng
tell a joke (v phr);kể chuyện hài
upset (v);làm khó chịu
upset (adj);buồn
calm down;bình tĩnh
cheer up;vui lên
come on;mau lên
go on;tiếp tục
hang on;đợi
run away (from);trốn thoát
shut up;im miệng
speak up;nói to lên


# Unit 36: Nature and the universe
amazing (adj);tuyệt vời
climate (n);khí hậu
countryside (n);miền quê
environment (n);môi trường
extinct (adj);tuyệt chủng
forecast (v);dự báo
forecast (n);sự dự báo
freezing (adj);lạnh buốt
global (adj);toàn cầu
heatwave (n);đợt nắng nóng
insect (n);côn trùng
lightning (n);tia chớp
litter (v);xả rác
litter (n);rác
local (adj);địa phương
locate (v);có vị trí ở, nằm ở
mammal (n);động vật có vú
mild (adj);ấm áp
name (v);kể tên, đặt tên
name (n);tên gọi
origin (n);nguồn gốc
planet (n);hành tinh
preserve (v);bảo tồn
recycle (v);tái chế
reptile (n);loài bò sát
rescue (v);giải cứu
rescue (n);sự giải cứu
satellite (n);vệ tinh
shower (n);cơn mưa rào
